system:time_start,undefined
"Feb 7, 2011",0.636
"Feb 8, 2011",0.36
"Feb 9, 2011",0.258
"Feb 10, 2011",0.435
"Feb 11, 2011",0.274
"Feb 12, 2011",0.344
"Feb 13, 2011",0.589
"Feb 14, 2011",0.799
"Feb 15, 2011",0.869
"Feb 16, 2011",0.637
"Feb 17, 2011",0.412
"Feb 18, 2011",0.293
"Feb 19, 2011",0.336
"Feb 20, 2011",0.342
"Feb 21, 2011",0.271
"Feb 22, 2011",0.468
"Feb 23, 2011",0.391
"Feb 24, 2011",0.391
"Feb 25, 2011",0.322
"Feb 26, 2011",0.647
"Feb 27, 2011",0.285
"Feb 28, 2011",0.264
"Mar 1, 2011",0.725
"Mar 2, 2011",0.361
"Mar 3, 2011",0.846
"Mar 4, 2011",0.525
"Mar 5, 2011",0.333
"Mar 6, 2011",0.353
"Mar 7, 2011",0.291
"Mar 8, 2011",0.284
"Mar 9, 2011",0.274
"Mar 10, 2011",0.309
"Mar 11, 2011",0.239
"Mar 12, 2011",0.305
"Mar 13, 2011",0.244
"Mar 14, 2011",0.246
"Mar 15, 2011",0.255
"Mar 16, 2011",0.211
"Mar 17, 2011",0.309
"Mar 18, 2011",0.292
"Mar 19, 2011",0.398
"Mar 20, 2011",0.308
"Mar 21, 2011",0.334
"Mar 22, 2011",0.236
"Mar 23, 2011",0.203
"Mar 24, 2011",0.274
"Mar 25, 2011",0.198
"Mar 26, 2011",0.252
"Mar 27, 2011",0.208
"Mar 28, 2011",0.273
"Mar 29, 2011",0.258
"Mar 30, 2011",0.325
"Mar 31, 2011",0.224
"Apr 1, 2011",0.21
"Apr 2, 2011",0.296
"Apr 3, 2011",0.324
"Apr 4, 2011",0.249
"Apr 5, 2011",0.247
"Apr 6, 2011",0.328
"Apr 7, 2011",0.398
"Apr 8, 2011",0.246
"Apr 9, 2011",0.245
"Apr 10, 2011",0.563
"Apr 11, 2011",0.368
"Apr 12, 2011",0.505
"Apr 13, 2011",0.274
"Apr 14, 2011",0.237
"Apr 15, 2011",0.238
"Apr 16, 2011",0.322
"Apr 17, 2011",0.656
"Apr 18, 2011",0.285
"Apr 19, 2011",0.235
"Apr 20, 2011",0.232
"Apr 21, 2011",0.211
"Apr 22, 2011",0.251
"Apr 23, 2011",0.231
"Apr 24, 2011",0.2
"Apr 25, 2011",0.228
"Apr 26, 2011",0.3
"Apr 27, 2011",0.319
"Apr 28, 2011",0.237
"Apr 29, 2011",0.24
"Apr 30, 2011",0.213
"May 1, 2011",0.233
"May 2, 2011",0.24
"May 3, 2011",0.186
"May 4, 2011",0.212
"May 5, 2011",0.178
"May 6, 2011",0.349
"May 7, 2011",0.314
"May 8, 2011",0.228
"May 9, 2011",0.196
"May 10, 2011",0.223
"May 11, 2011",0.222
"May 12, 2011",0.176
"May 13, 2011",0.21
"May 14, 2011",0.197
"May 15, 2011",0.195
"May 16, 2011",0.18
"May 17, 2011",0.209
"May 18, 2011",0.334
"May 19, 2011",0.227
"May 20, 2011",0.256
"May 21, 2011",0.472
"May 22, 2011",0.441
"May 23, 2011",0.186
"May 24, 2011",0.18
"May 25, 2011",0.199
"May 26, 2011",0.219
"May 27, 2011",0.43
"May 28, 2011",0.195
"May 29, 2011",0.324
"May 30, 2011",0.338
"May 31, 2011",0.342
"Jun 1, 2011",0.497
"Jun 2, 2011",0.405
"Jun 3, 2011",0.192
"Jun 4, 2011",0.151
"Jun 5, 2011",0.215
"Jun 6, 2011",0.195
"Jun 7, 2011",0.305
"Jun 8, 2011",0.352
"Jun 9, 2011",0.386
"Jun 10, 2011",0.423
"Jun 11, 2011",0.221
"Jun 12, 2011",0.427
"Jun 13, 2011",0.161
"Jun 14, 2011",0.266
"Jun 15, 2011",0.471
"Jun 16, 2011",0.332
"Jun 17, 2011",0.446
"Jun 18, 2011",0.508
"Jun 19, 2011",0.273
"Jun 20, 2011",0.305
"Jun 21, 2011",0.356
"Jun 22, 2011",0.271
"Jun 23, 2011",0.304
"Jun 24, 2011",0.268
"Jun 25, 2011",0.587
"Jun 26, 2011",0.512
"Jun 27, 2011",0.488
"Jun 28, 2011",0.629
"Jun 29, 2011",0.619
"Jun 30, 2011",0.664
"Jul 1, 2011",0.33
"Jul 2, 2011",0.3
"Jul 3, 2011",0.214
"Jul 4, 2011",0.23
"Jul 5, 2011",0.4
"Jul 6, 2011",0.495
"Jul 7, 2011",0.538
"Jul 8, 2011",0.535
"Jul 9, 2011",0.586
"Jul 10, 2011",0.564
"Jul 11, 2011",0.49
"Jul 12, 2011",0.3
"Jul 13, 2011",0.412
"Jul 14, 2011",0.521
"Jul 15, 2011",0.595
"Jul 16, 2011",0.487
"Jul 17, 2011",0.634
"Jul 18, 2011",0.496
"Jul 19, 2011",0.307
"Jul 20, 2011",0.517
"Jul 21, 2011",0.558
"Jul 22, 2011",0.32
"Jul 23, 2011",0.6
"Jul 24, 2011",0.512
"Jul 25, 2011",0.555
"Jul 26, 2011",0.504
"Jul 27, 2011",0.568
"Jul 28, 2011",0.579
"Jul 29, 2011",0.608
"Jul 30, 2011",0.336
"Jul 31, 2011",0.377
